Epoch,Loss,max_dk,max_dp
0,0.3142361640930176,69.93695068359375,1.8478763103485107
1,0.29829925298690796,63.685646057128906,1.9419499635696411
2,0.3115844428539276,41.28397750854492,1.807702660560608
3,0.34303417056798935,25.710758209228516,1.6959384679794312
4,0.37182957530021665,30.68522071838379,1.7820767164230347
5,0.393801028529803,36.98727035522461,1.9738293886184692
6,0.41501367517880033,40.02950668334961,2.072087287902832
7,0.4358925633132458,43.39763641357422,2.0425989627838135
8,0.4522638155354394,45.43260955810547,2.058656692504883
9,0.43403504192829134,48.10669708251953,1.289876103401184
10,0.4118537374518134,29.25103759765625,0.9311197996139526
11,0.3981437645852566,11.992100715637207,0.5804739594459534
12,0.39453136118558735,29.840797424316406,1.3660359382629395
13,0.3946561185376985,41.935874938964844,1.808497667312622
14,0.3956850995620092,39.40983200073242,1.6599165201187134
15,0.39948959928005934,26.224870681762695,1.5859992504119873
16,0.4059549035394893,32.41679382324219,1.7041740417480469
17,0.4124048840668466,34.36908721923828,1.4644176959991455
18,0.40747445429626267,54.8513069152832,1.8566455841064453
19,0.398056984692812,36.15824890136719,1.2142161130905151
20,0.39108434106622425,17.51373863220215,0.727654218673706
21,0.38841441747817124,29.1711483001709,1.1928499937057495
22,0.38728507122267847,41.208457946777344,1.613505244255066
23,0.38661627533535164,37.87830352783203,1.4630016088485718
24,0.38798770248889924,23.72992515563965,1.0648502111434937
25,0.39152577347480333,26.377662658691406,1.145797610282898
26,0.39542964156027194,37.382789611816406,1.2262202501296997
27,0.3936913604182856,57.30786895751953,1.8993253707885742
28,0.38827063502936526,38.79533767700195,1.1101813316345215
29,0.38378681341807047,19.460416793823242,0.7029488682746887
30,0.38172190035543135,27.83311653137207,1.0458166599273682
31,0.38042172230780125,40.21229934692383,1.4482555389404297
32,0.3814175520092249,36.43330764770508,1.3033947944641113
33,0.3850317671895027,21.485881805419922,1.067871332168579
34,0.3888814002275467,24.42560577392578,1.0653561353683472
35,0.39026242680847645,35.53414535522461,1.1501153707504272
36,0.38645168766379356,58.442665100097656,1.8050750494003296
37,0.37847712682560086,40.465087890625,1.22568941116333
38,0.36950362706556916,20.856870651245117,0.800271213054657
39,0.3610274796374142,27.325096130371094,0.9306627511978149
40,0.35293417843058705,39.822593688964844,1.3140548467636108
41,0.3547596079297364,35.54826354980469,1.177484154701233
